Text,id,CUI,CONCEPT,Similarity
"Took a while to have an effect on mood obviously,but side-effects alarming:sudden migraines which I had had very infrequently before.",33,C1562291 ,"Loss of interest in previously enjoyable activity,Loss of interest",0.8761571922776927
Very big increase in blood pressure which I had never experienced before.,34,C0497247 ,"Increase in blood pressure,Finding of increased blood pressure",0.884014180638809
Very big increase in blood pressure which I had never experienced before.,34,C0233632 ,"Disturbance in thinking,Disturbance in thinking",0.8580049524365464
"Have your blood pressure checked even if like me, you have never had a problem with it you may be in for a nasty surprise!",35,C0423994 ,"Unable to think clearly,Unable to think clearly",0.8849220375354165
"Have your blood pressure checked even if like me, you have never had a problem with it you may be in for a nasty surprise!",35,C0563158 ,"Compulsion to act on dangerous thoughts,Compulsion to act on dangerous thoughts",0.8631573320237523
"Heavy sedation, Jaw Clenching, Inability to organism.",36,C0456820 ,"Loss of capacity to feel emotions,Loss of capacity to feel emotions",0.7869221569342386
"Heavy sedation, Jaw Clenching, Inability to organism.",36,C0558185 ,"Unable to move,Unable to move",0.7773810720918907
Very bad side effects.,37,C0563158 ,"Compulsion to act on dangerous thoughts,Compulsion to act on dangerous thoughts",0.7777615497946142
Very bad side effects.,37,C0023222 ,"Pain in lower limb,Pain in lower limb",0.7563957190417526
"emotionless, Zombie effect.",38,C0233488 ,"Feeling despair,Feeling despair",0.7548721780839376
"emotionless, Zombie effect.",38,C0424329 ,"Outbursts of anger,Outbursts of anger",0.7509723270803695
Loss of memory.,39,C0456814 ,"Loss of motivation,Loss of motivation",0.8833845007521337
Loss of memory.,39,C0233794 ,"Memory impairment,Memory impairment",0.8694393969402375
"When i took lexapro i walked around in a ""zombie"" like state because i would never be happy about anything, but never really sad.",40,C0423994 ,"Unable to think clearly,Unable to think clearly",0.8904353693005778
"When i took lexapro i walked around in a ""zombie"" like state because i would never be happy about anything, but never really sad.",40,C0558127 ,"Feels dreams are real,Feels dreams are real",0.8711371605922146
"I just kind of felt numb toward all emotion, Also, my memory started lacking and i couldnt remember long periods of time or things i had done.",41,C0456820 ,"Loss of capacity to feel emotions,Loss of capacity to feel emotions",0.9087744567274328
"I just kind of felt numb toward all emotion, Also, my memory started lacking and i couldnt remember long periods of time or things i had done.",41,C0423994 ,"Unable to think clearly,Unable to think clearly",0.8921264482026082
i still have difficulty remembering most of that year and for no particular reason.,42,C1562291 ,"Loss of interest in previously enjoyable activity,Loss of interest",0.8921489400039584
i still have difficulty remembering most of that year and for no particular reason.,42,C0456820 ,"Loss of capacity to feel emotions,Loss of capacity to feel emotions",0.8646952653815977
"Jaw jacking/clenching teeth, headaches, vomitting, waking up in the middle of the night for hours, increase in anxiety, blurred vision.",43,C0233408 ,"Disorientated in time,Disorientated in time",0.8638319684985813
"Jaw jacking/clenching teeth, headaches, vomitting, waking up in the middle of the night for hours, increase in anxiety, blurred vision.",43,C0233408 ,"Disorientated in time,disorientated in time",0.8638319684985813
I started feeling the side effects the fist day i took 10mg.,44,C0456820 ,"Loss of capacity to feel emotions,Loss of capacity to feel emotions",0.8264203604784219
I started feeling the side effects the fist day i took 10mg.,44,C0563158 ,"Compulsion to act on dangerous thoughts,Compulsion to act on dangerous thoughts",0.8235558532329397
